Created_Date,Record_Number,Record_Type,Status,Address,Description,Building_Type,Units,sqft,stories_total,stories_residential,detail,Structure Info Link,Permit Info Link,Lat,Long
07/21/2023,1056451-VB,Vacant Building Monitoring,Active,1005   S  KING  ST   SEATTLE,VBM from 004230-19PA,Commercial,,5700,1,,Warehouse,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=8170100205,,47.5982202,-122.3191861
09/16/2019,1048411-VB,Vacant Building Monitoring,Active,2302 4TH AVE 98121,VBM,Residential,36,18000,3,3,Apartment,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=0696000140,,47.6156852,-122.3438638
03/12/2023,1055641-VB,Vacant Building Monitoring,Active,1516    2ND  AVE   SEATTLE,Vacant Building Monitoring,Commercial,,13000,4,,Office,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1975700440,,47.6099228,-122.3390183
05/02/2025,1060830-VB,Vacant Building Monitoring,Active,1814    12TH  AVE   SEATTLE,VBM from 1060829-VI,Residential,9,3884,2,2,Condo,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=6003001410,,47.6181308,-122.3165102
12/03/2025,1062129-VB,Vacant Building Monitoring,Active,2204    1ST  AVE   SEATTLE,VB from SPD,Mixed  Use,14,5000,3,2,Hotel,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1977200681,,47.6129104,-122.3451306
03/03/2025,1060392-VB,Vacant Building Monitoring,Active,10516    LAKE CITY  WAY  NE  SEATTLE,Vacant building monitoring related to NOV 1060391–VI,Residential,18,16367,2,2,Apartment,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=2826049034,,47.7053198,-122.3011338
02/27/2025,1060369-VB,Vacant Building Monitoring,Active,4214    ROOSEVELT  WAY  NE  SEATTLE,Vacant building monitoring- Building is covered in graffiti. Upper bay windows are broken and can be accessed. Squatter sleeping in alley doorway,Commercial,,7840,1,1,Retail,"commercial, 8k sqft. https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1142000725",,47.6588229,-122.3174209
01/14/2025,1060108-VB,Vacant Building Monitoring,Active,6730    RAINIER  AVE  S  SEATTLE,VBM from 006213-21PA,Residential,8,4720,1,1,Condo,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=2724049050,,47.5417209,-122.2716556
01/08/2025,1060067-VB,Vacant Building Monitoring,Active,2255    HARBOR  AVE  SW  SEATTLE,VB from 1059761-VI,Commercial,,3236,2,,Office,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=9275200270,,47.5833282,-122.3746708
04/15/2026,1062879-VB,Vacant Building Monitoring,Active,416    7th  AVE  S,VB from SFD & 1062878-VI,Mixed Use,,15000,4,3,Hotel,https://blue.kingcounty.com/Assessor/eRealProperty/Dashboard.aspx?ParcelNbr=5247802735,,47.5986845,-122.3233608
03/07/2026,1062615-VB,Vacant Building Monitoring,Active,4234    University  WAY  NE,Vacant building monitoring,Mixed Use,20,9108,3,2,Floor 1 Restaurant,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1142001245,,47.6593,-122.3129056
09/25/2024,1059438-VB,Vacant Building Monitoring,Active,3601    14TH  AVE  S  SEATTLE,VBM from 1059307-VI,Residential,8,5684,2,2,Apartment,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=5680000920,,47.5713487,-122.3150563
07/08/2024,1058800-VB,Vacant Building Monitoring,Active,5916    CALIFORNIA  AVE  SW  SEATTLE,VB from 003527-24PA,Residential,8,5156,4,4,Apartment,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=7625702460,,47.5497379,-122.3866435
10/01/2025,1061825-VB,Vacant Building Monitoring,Active,1265   S  Main  ST,VBM from 005247-25PA,Commercial,,14726,3,,Indian Cultural Center,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=3320000095,,47.5997699,-122.3144023
02/26/2026,1062564-VB,Vacant Building Monitoring,Initiated,4322    5TH  AVE  NW  SEATTLE,VB unassigned at script.,Residential,4,2748,2,2,4 plex,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=8605900080,,47.6596585,-122.3626142
11/01/2022,1055005-VB,Vacant Building Monitoring,Active,614    Maynard  AVE  S,VB from 006441-22PA,Commercial,,14400,3,,Restaurant/Office,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=5247802410,,47.597009,-122.3246889
10/28/2021,1053191-VB,Vacant Building Monitoring,Active,1520    5TH  AVE   SEATTLE,VBM,Commercial,,18000,2,,Retail/Office,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1975700135,,47.6108686,-122.3354713
,,,,517 NEWTON ST,,Residential,11,6208,2,2,Apartment,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1689400905,,47.6363793,-122.34621
,,,,1818 HARVARD AVE,,Residential,12,7920,3,3,Unsure occupation status,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=6003001290,https://services.seattle.gov/Portal/cap/CapDetail.aspx?type=1000&fromACA=Y&agencyCode=SEATTLE&Module=DPDPermits&capID1=17HST&capID2=00000&capID3=81691,47.618268,-122.321853
,,,,410 2nd Ave Ext S,,Mixed Use,7,5234,3,2,Unsure occupation status,https://blue.kingcounty.com/Assessor/eRealProperty/Detail.aspx?ParcelNbr=1562700010,https://services.seattle.gov/Portal/cap/CapDetail.aspx?type=1000&fromACA=Y&agencyCode=SEATTLE&Module=DPDPermits&capID1=25SCI&capID2=00000&capID3=10281,47.60122484,-122.331146